arrest_year,arrest_date,arrest_hour,age,race,sex,arrest_category,description,offense_location_district,PSA
2019,1/22/2019,3,18,BLACK,MALE,Narcotics,Distribution Of Marijuana-misd,7D,702
2019,1/17/2019,11,33,BLACK,FEMALE,Release Violations/Fugitive,Parole Violation (Warrant),1D,102
2019,3/25/2019,5,35,BLACK,MALE,Narcotics,Distribution Of A Controlled Substance,4D,409
2019,8/20/2019,12,43,BLACK,MALE,Prostitution,Sexual Solicitation,6D,602
2019,9/9/2019,8,61,BLACK,MALE,Traffic Violations,No Permit,6D,605
2019,1/27/2019,12,38,BLACK,MALE,Traffic Violations,No Permit,6D,608
2019,8/19/2019,4,57,BLACK,MALE,Simple Assault,Simple Assault,3D,308
2019,5/31/2019,8,28,BLACK,MALE,Simple Assault,Threats To Do Bodily Harm -misd,7D,705
2019,2/4/2019,6,49,BLACK,FEMALE,Simple Assault,Simple Assault,4D,407
2019,11/20/2019,7,19,BLACK,MALE,Theft,Theft Second Degree (all Other Larceny),7D,701
2019,6/23/2019,9,33,UNKNOWN,MALE,Simple Assault,Simple Assault,1D,106
2019,4/20/2019,5,24,BLACK,MALE,Simple Assault,Simple Assault,5D,504
2019,9/30/2019,9,20,BLACK,FEMALE,Liquor Law Violations,Possession Of An Open Container Of Alcohol (poca),1D,102
2019,3/6/2019,5,21,BLACK,MALE,Release Violations/Fugitive,Probation Violation (Warrant),6D,608
2019,7/10/2019,7,44,BLACK,MALE,Disorderly Conduct,Illegal Dumping,6D,607
2019,11/25/2019,8,30,BLACK,FEMALE,Damage to Property,Destruction Of Property Less Than $1000,6D,604
2019,5/13/2019,12,42,BLACK,MALE,Robbery,Robbery,5D,505
2019,10/13/2019,12,30,BLACK,MALE,Release Violations/Fugitive,Failure To Appear (USAO),6D,603
2019,10/22/2019,3,31,BLACK,MALE,Narcotics,Distribution Of A Controlled Substance,3D,308
2019,10/3/2019,2,50,BLACK,FEMALE,Narcotics,Poss Of A Controlled Substance -misd,7D,704
2019,8/24/2019,2,26,BLACK,MALE,Traffic Violations,No Permit,6D,604
2019,8/29/2019,11,37,BLACK,MALE,Theft,Theft Second Degree - Felony (all Other Larceny),2D,206
2019,6/13/2019,8,24,BLACK,MALE,Narcotics,Poss W/i To Dist A Controlled Substance,6D,607
2019,4/5/2019,12,42,BLACK,FEMALE,Traffic Violations,No Permit,5D,506
2019,10/31/2019,11,20,BLACK,MALE,Other Crimes,Unlawful Entry,5D,505
2019,8/4/2019,8,52,BLACK,MALE,Traffic Violations,No Permit,6D,605
2019,3/27/2019,3,26,BLACK,MALE,Weapon Violations,Carry Dangerous Weapon- Felony,2D,207
2019,10/4/2019,6,50,BLACK,MALE,Release Violations/Fugitive,Bench Warrant,1D,102
2019,11/20/2019,8,42,BLACK,MALE,Traffic Violations,"Loaning Registration, Misuse Of Temporary Tags",7D,701
2019,10/11/2019,10,48,UNKNOWN,MALE,Theft,Theft Second Degree (all Other Larceny),7D,703
2019,8/29/2019,7,31,BLACK,MALE,Narcotics,Distribution Of A Controlled Substance,6D,604
2019,10/29/2019,8,58,BLACK,MALE,Other Crimes,Unlawful Entry,2D,208
2019,5/24/2019,12,28,BLACK,MALE,Narcotics,Poss Of A Controlled Substance -misd,6D,607
