"","address","zip","year_built","BEPS_score","meets_beps","latitude","longitude","owner","property_name"
"1","1901 INDEPENDENCE AVE SE",20003,2017,"156.4","No",38.90859969,-77.03355614,"DISTRICT OF COLUMBIA","DC Jail/Central Detention Facility/Correctional Treatment Facility"
"2","2400 EAST CAPITOL STREET SE",20003,1960,"Under Review","Under Review",38.94687553,-77.06462202,"DISTRICT OF COLUMBIA",""
"3","3030 K STREET NW",20007,1986,"0","Yes",38.87785278,-77.01107229,"WASHINGTON HARBOUR CONDO","270310 - Washington Harbour"
"4","1015 33RD STREET NW",20007,1985,"71","No",38.85279775,-76.96402572,"THE FLOUR MILL CONDO","1000 Potomac St. Washington DC"
"5","1015 33RD STREET NW",20007,1985,"66","No",38.93047551,-77.0371469,"THE FLOUR MILL CONDO","Flour Mill"
"6","1001 PAPER MILL COURT NW",20007,1900,"Under Review","Under Review",38.90546028,-77.0482268,"THE PAPER MILL CONDO",""
"7","1010 - 1014 WISCONSIN AV NW",20007,1985,"71","No",38.87957276,-77.00941306,"WATERFRONT CENTER LP","Waterfront"
"8","1055 29TH ST NW",20007,1948,"Under Review","Under Review",38.8771093,-77.01937554,"GEORGETOWN 29K ACQUISITION LLC",""
"9","3000 M ST NW",20007,1981,"Under Review","Under Review",38.92888455,-77.05536915,"THOR 300 M STREET LLC",""
"10","1054 31ST STREET NW",20007,1969,"71","No",38.9033991,-77.02848543,"R B ASSOCIATES INC","Canal Square"
"11","1251 BANKS ALLEY NW",20007,1991,"Under Review","Under Review",38.88361321,-77.015534,"3307 M STREET LLC","Jamestown - 3307 M Street"
"12","2101 WISCONSIN AVENUE NW",20007,1976,"Under Review","Under Review",38.93107711,-77.03164829,"JOSHUA E J HOLLAND",""
"13","2201 WISCONSIN AVENUE NW",20007,1981,"0","Yes",38.90402879,-77.04925604,"SUSAN KAHN","2201 Wisconsin Ave"
"14","2121 WISCONSIN AVENUE NW",20007,1961,"71","Yes",38.87720678,-77.00554142,"JBG 2121 WISCONSIN LLC","2121 Wisconsin Ave"
"15","2115 WISCONSIN AVENUE NW",20007,1987,"71","Yes",38.91050472,-77.03249306,"JBG 2115 WISCONSIN LLC","2115 Wisconsin, L.L.C."
"16","3900 TUNLAW ROAD NW",NA,1959,"Under Review","Under Review",38.89237499,-76.99543645,"3900 TUNLAW COOPERATIVE C/O JOHN HANCOCKREAL ESTATE",""
"17","5275 LOUGHBORO ROAD NW",20016,2011,"426.9","Yes",38.94923739,-77.06589129,"LUCY WEBB HAYES NATIONAL TRAINING SCHOOL SIBLEY MEMORIAL HOSPITAL","New Sibley Patient Tower"
"18","4200 MASSACHUSETTS AVENUE NW",20016,1971,"66","No",38.90056549,-76.98433419,"FOX HALL EAST CONDO","Fox Hall East Condominiums"
"19","3201 SUTTON PLACE NW",20016,1980,"Under Review","Under Review",38.89999597,-77.0012645,"SUTTON PLACE CONDOMINIUM",""
"20","5010 WISCONSIN AVENUE NW",NA,1962,"Under Review","Under Review",38.90350786,-77.04448221,"TAIPEI ECONOMIC AND CULTURAL REPRESENTATIVEOFFICE IN THE UNITED STAT",""
"21","5333 WISCONSIN AVENUE NW",20015,1998,"228.8","No",38.83117372,-76.99330625,"STREET RETAIL INC","Friendship Center"
"22","4200 DAVENPORT ST NW",20037,1986,"Under Review","Under Review",38.93385565,-77.0726989,"GEORGETOWN DAY SCHOOL INC",""
"23","4200 CATHEDRAL AVE NW",20016,1957,"66","No",38.91959136,-77.03168318,"4200 CATHEDRAL CONDO","4200 Cathedral Ave Condo"
"24","4000 VAN NESS STREET NW",NA,1964,"Under Review","Under Review",38.90588464,-77.04916591,"POTOMAC ELECTRIC POWER COMPANY",""
"25","4001 YUMA STREET NW",NA,1947,"Under Review","Under Review",38.90201112,-77.06033829,"SAINT JOHN SOCIETY",""
"26","4545 42ND STREET NW",NA,1976,"Under Review","Under Review",38.88303794,-76.94759915,"MOLYBDENUM LLC",""
"27","4500 WISCONSIN AVENUE NW",20016,2005,"225.3","No",38.89689559,-77.01338917,"CITYLINE AT TENLEY RES CONDO","Cityline at Tenley Center"
"28","4620 WISCONSIN AVE NW",20016,1988,"Under Review","Under Review",38.90687542,-77.00368244,"WISCONSIN OWNER LLC",""
"29","DONALDSON PL NW",20019,NA,"229.4","Yes",38.89933255,-77.02353491,"DISTRICT OF COLUMBIA","Fort Reno"
"30","4530 40TH STREET NW",NA,1995,"Under Review","Under Review",38.92207192,-77.03687487,"PEDAS TENLEY LLC",""
"31","3620 16TH STREET NW",20010,1930,"66","Yes",38.93171679,-77.07317431,"VAN METRE OAKLAWN TERRACE APARTMENTS L L C","SQ 369 Residents - Lurgan"
"32","4228 WISCONSIN AVENUE NW",20016,1967,"0","Yes",38.89990115,-77.00744488,"TAMOL LP","PSYCHIATRIC INSTITUTE OF WASHINGTON"
"33","4100 WISCONSIN AVE NW",20016,1990,"Under Review","Under Review",38.90276579,-76.9965913,"G ECKLES",""
"34","4000 MASSACHUSETTS AVENUE NW",20016,1957,"66","Yes",38.91514111,-77.02262794,"EDWARD H KAPLAN","4000 Mass"
"35","2801 NEW MEXICO AVENUE NW",20007,1966,"66","No",38.85564477,-76.97223348,"THE COLONNADE CONDOMINIUM","The Colonnade Condominium"
"36","3125 39TH STREET NW",NA,NA,"Under Review","Under Review",38.96382609,-77.01073311,"ROMAN CATHOLIC ARCHBISHOP OF WASHINGTON",""
"37","3611 38TH STREET NW",20016,1985,"Under Review","Under Review",38.90789452,-77.04292132,"THE VILLAGE AT MCLEAN GARDENS",""
"38","3900 WISCONSIN AVENUE NW",NA,1958,"Under Review","Under Review",38.90390824,-77.06687697,"NASH-ROADSIDE 3900 WISCONSIN LLC",""
"39","4201 WISCONSIN AVENUE NW",NA,1986,"Under Review","Under Review",38.897948,-77.02095694,"TAIPEI ECONOMIC CULTURAL REP OFFICE",""
"40","5415 CONNECTICUT AVENUE NW",20015,1950,"66","Yes",38.90412553,-76.98850305,"WRIT KENMORE LLC","The Kenmore"
"41","3010 WISCONSIN AVENUE NW",20016,1930,"Under Review","Under Review",38.89758982,-76.99314266,"THE CATHEDRAL COURT CONDO",""
"42","2828 WISCONSIN AVENUE NW",20007,1977,"66","Yes",38.90702474,-77.03070973,"THE WORLAND CONDOMINIUM","The Worland Condomminium"
"43","2800 WISCONSIN AVENUE NW",20007,1964,"Under Review","Under Review",38.87667902,-77.00035769,"2800 WISCONSIN AVE CONDOMINIUM",""
"44","3101 WISCONSIN AVE NW",20016,1959,"140.3","No",38.87880202,-76.99919866,"PROTESTANT EPISCOPAL CATHEDRAL FND DC","Washington National Cathedral"
"45","3001 WISCONSIN AVENUE NW",NA,1854,"Under Review","Under Review",38.9499798,-77.08084631,"SAINT ALBANS CHURCH VESTRY",""
"46","4200 CONNECTICUT AVE NW",20008,1968,"180.6","No",38.92950846,-77.08021719,"UNIVERSITY OF THE DISTRICT OF COLUMBIA","UDC"
"47","1000 F ST NW",NA,2018,"Under Review","Under Review",38.93011644,-77.07766803,"JAMEL STERLING LP",""
"48","4340 CONNECTICUT AVENUE NW",20008,1975,"Under Review","Under Review",38.93438891,-77.02138241,"DISTRICT OF COLUMBIA",""
"49","4514 CONNECTICUT AVENUE NW",20008,1928,"66","Yes",38.93643979,-77.02663629,"PONCE DE LEON COOPERATIVE INC","PONCE DE LEON COOPERATIVE INC"
"50","5111 CONNECTICUT AVENUE NW",20015,2003,"50","No",38.92454498,-77.03750869,"SUNRISE CONNECTICUT AVENUE ASSISTED LIVING LLC","63110-Sunrise on Connecticut Avenue"
"51","4901 CONNECTICUT AVENUE NW",20008,1927,"50","No",38.874995,-77.00619075,"METHODIST HOME OF D C INC","The Methodist Home of DC and Forest Side Assisted Living"
"52","4309 CONNECTICUT AVENUE NW",20008,1930,"0","Yes",38.89708617,-77.0195284,"VAN NESS CENTER ASSOCITES LLC","Van Ness Center"
"53","4309 CONNECTICUT AVENUE NW",20008,1930,"64","No",38.92119658,-77.08845145,"VAN NESS CENTER ASSOCITES LLC","0383 Washington"
"54","3400 INTERNATIONAL DR NW",20008,1985,"153.7","Yes",38.91300821,-77.02217678,"SL 4000 CONNECTICUT LLC","3400 International Dr"
"55","2401 CALVERT STREET NW",20008,1964,"66","No",38.90687775,-77.03416385,"CALVERT HOUSE ASSOCIATES LLC","The Calvert House"
"56","2700 CALVERT STREET NW",20008,1965,"66","No",38.93693706,-77.10749579,"SHOREHAM WEST COOPERATIVE APARTMENTS INC","Shoreham West Cooperative Apts Inc"
"57","2635 CONNECTICUT AVENUE NW",NA,1989,"Under Review","Under Review",38.90753381,-77.0412724,"MDP 2631 CT AVE LLC",""
"58","2730 ORDWAY STREET NW",20008,1944,"Under Review","Under Review",38.88713779,-76.94630527,"ORDWAY GARDENS",""
"59","3505 CONNECTICUT AVENUE NW",20037,NA,"228.8","No",38.8985381,-77.00256875,"STREET RETAIL INC","Sam's Park & Shop"
"60","3701 CONNECTICUT AVE NW",20008,1951,"Under Review","Under Review",38.91674325,-77.037638,"3701 CONNECTICUT AVE CONDO",""
"61","4007 CONNECTICUT AVE NW",20008,1930,"Under Review","Under Review",38.89942177,-77.03407923,"TILDEN COURT CONDOMINIUM",""
"62","4103 CONNECTICUT AVENUE NW",20008,2006,"Under Review","Under Review",38.90183585,-77.02369057,"EDMUND BURKE SCHOOL INC",""
"63","5121 BRD BRANCH RD NW",20008,1927,"Under Review","Under Review",38.9400534,-77.02381284,"THE INGLESIDE PRESBYTERIAN RETIREMENT COMM",""
"64","2231 CALIFORNIA STREET NW",20008,1943,"66","Yes",38.87139792,-76.97839374,"WILLIAM PENNSYLVANIA LTD","The William Penn Apartments"
"65","1801 KALORAMA SQUARE NW",20008,1976,"Under Review","Under Review",38.90999538,-77.0479595,"KALORAMA SQUARE",""
"66","2144 CALIFORNIA STREET NW",NA,1959,"Under Review","Under Review",38.90815185,-77.01770527,"PACOLET KALORAMA LLC",""
"67","1914 CONNECTICUT AVENUE NW",20009,1903,"54","Yes",38.93383752,-77.07835753,"H H CHURCHILL HOTEL ASSOCIATES LP","Churchill WCH DC"
"68","1825 CONNECTICUT AV NW",20009,1959,"71","Yes",38.82390177,-77.00321328,"UNIVERSAL BUILDING INC","1825 Connecticut Avenue"
"69","2311 CONNECTICUT AVENUE NW",20008,1911,"66","Yes",38.90747019,-77.03049513,"THE WOODLAND CONDOMINIUM","The Woodward"
"70","1884 COLUMBIA ROAD NW",20009,1965,"66","Yes",38.90539166,-77.03503012,"ADAMS-MORGAN ASSOCIATES","The Promenade"
