Institution	City	State	Date	One	Five	Ten	Twenty	Fifty	Hundred	Average	Latitude	Longitude
Shawmut Bank	New Haven	CT	7/14/1993				1.62	2.12		1.87	41.3657681	-72.90907317
Shawmut Bank	New Haven	CT	7/14/1993				2.22	1.64		1.93	41.3657681	-72.90907317
1st State Bank	Hitchcock	TX	7/15/1993				10.7	2.19	2.19	5.03	29.34929152	-95.01785538
West Columbia Natl Bank	West Columbia	TX	7/15/1993				5.27	5.58	10.8	7.22	29.14987377	-95.64487777
Charter Bank	Houston	TX	9/7/1993	2.73	6.62	10.5	3.96	27.9	1.42	8.86	29.73407329	-95.41359404
DOJFCU FBI HQ	Washington	DC	9/7/1993	0.24	0.29	0.31	2.94	1.87	0.56	1.04	38.89572831	-77.02443103
Post Oak Bank	Houston	TX	9/7/1993	1.62	1.41	1.9	1	3.09	1.06	1.68	29.89084147	-95.53647104
US Post Office	El Segundo	CA	12/19/1993	5.62	7.92	20.4	12.2			11.5	33.92349135	-118.3861127
Wells Fargo Bank	Eureka	CA	12/21/1993				1.61	0.9	1.06	1.19	40.80123604	-124.1645817
Wells Fargo Bank	Eureka	CA	12/21/1993				2.29		1.91	2.1	40.80123604	-124.1645817
Marriott Hotel	Newport Center	CA	8/9/1994			12.1		8.42	7.65	9.39	33.61645726	-117.8791859
Marriott Hotel	Newport Center	CA	8/9/1994			12.2				12.2	33.61645726	-117.8791859
Citibank	Manhattan	NY	8/24/1995	1	1.59	0.61	0.73	0.49	0.83	0.87	40.73927031	-73.98885395
Citibank	Manhattan	NY	8/24/1995			1.13	0.35	0.44	0.96	0.72	40.73927031	-73.98885395
Stockdale Bank	Bakersfield	CA	11/17/1995				7.68			7.68	35.36100461	-119.0605974
Stockdale Bank	Bakersfield	CA	11/17/1995				1.99			1.99	35.36100461	-119.0605974
Stockdale Bank	Bakersfield	CA	11/17/1995				3.04			3.04	35.36100461	-119.0605974
First Union Natl Bank of FL	Miami	FL	12/6/1995				2.89			2.89	25.76788329	-80.25469717
First Union Natl Bank of FL	Miami	FL	12/6/1995				4.34			4.34	25.76788329	-80.25469717
First Union Natl Bank of FL	Miami	FL	12/6/1995				1.27			1.27	25.76788329	-80.25469717
Barnett Bank	Fort Lauderdale	FL	12/16/1995				1.2			1.2	26.12787946	-80.13749065
Barnett Bank	Fort Lauderdale	FL	12/16/1995				2.04			2.04	26.12787946	-80.13749065
Barnett Bank	Fort Lauderdale	FL	12/16/1995				0.86			0.86	26.12787946	-80.13749065
1st National Bank of Georgia	Atlanta	GA	4/17/1996				0.59			0.59	33.77404246	-84.38748424
1st National Bank of Georgia	Atlanta	GA	4/17/1996				0.54			0.54	33.77404246	-84.38748424
1st National Bank of Georgia	Atlanta	GA	4/17/1996				0.81			0.81	33.77404246	-84.38748424
SunTrust Bank	Fort Lauderdale	FL	4/17/1996				0.77			0.77	26.12617974	-80.13612016
SunTrust Bank	Fort Lauderdale	FL	4/17/1996				0.57			0.57	26.12617974	-80.13612016
SunTrust Bank	Fort Lauderdale	FL	4/17/1996				0.7			0.7	26.12617974	-80.13612016
Peoples Bank	Rocky Hill	CT	5/3/1996			1.02	1.06			1.04	41.68107833	-72.65751211
Peoples Bank	Rocky Hill	CT	5/3/1996			0.8	1.95			1.37	41.68107833	-72.65751211
1st Security Bank	Albuquerque	NM	11/15/1996	2	2.64	2.34	2.34	0.91	0.62	1.81	35.10492724	-106.630204
1st Security Bank	Albuquerque	NM	11/15/1996				1.12			1.12	35.10492724	-106.630204
Mellon Bank	Annapolis	MD	11/21/1996	0.27	0.28	0.14	0	0.12	0	0.14	38.97880429	-76.5449792
Mellon Bank	Annapolis	MD	11/21/1996	1.21	0.21	0.23	0.14	0.28	0	0.35	38.97880429	-76.5449792
Nations Bank	Alexandria	VA	11/21/1996	0.46	0.14	0.17	0	0	0	0.13	38.8053249	-77.04536112
Nations Bank	Alexandria	VA	11/21/1996	0.21	0.23	0.25	0.25	0	0	0.16	38.8053249	-77.04536112
Maspeth Savings & Loan	New Hyde Park	NY	11/26/1996	1.27	0	0.47	0.13	0.14	0	0.33	40.73413951	-73.68622323
Bank One	Charleston	WV	12/5/1996	1.9	0.52	0.32	0.23	0.14	0.16	0.54	38.35155717	-81.63493634
Cal Fed Bank	Downey	CA	12/6/1996	0.52	1.84	0.82	0.35	1.17	0	0.78	33.80996493	-118.3507294
Bank of America	Las Vegas	NV	12/10/1996	9.62	1.4	2.26	1.69	29	0.5	7.41	36.16717458	-115.2033687
Bank of America	Westwood	CA	12/10/1996	12.2	1.43	1.22	1.03	0.77	0.41	2.84	40.30287221	-121.0035986
Bank of America	Red Bluff	CA	12/16/1996	0.88	0.4	0.46	0.28	0.15	0.13	0.38	40.1799458	-122.2371106
Bank of America	Red Bluff	CA	12/16/1996	0.88	0.4	0.58	0.2	0.16	0.16	0.39	40.1799458	-122.2371106
Caesars Palace Casino	Las Vegas	NV	12/22/1996	0.51	0.72	0.25	0	0.22	0	0.28	36.11636782	-115.1744775
West America Bank	San Rafael	CA	2/5/1997	0.45	0.25	2.72	0.45	0.57	0.18	0.77	37.97461377	-122.5291573
Bank of America	Kingsbury	NV	9/15/2000	9.99	5.34	7.96	7.02	5.27	6.77	7.06	38.96904729	-119.9329215
Harrahs Casino	Lake Tahoe	NV	9/16/2000	7.32	6.04	5.8	4.49		3.61	5.45	38.95942615	-119.9411994
Sandia Natl Lab FCU	Livermore	CA	1/20/2001	4.91	5.17	5.63	4.86	3.63	5.53	4.96	37.68454553	-121.7694663
Bank of America	San Francisco	CA	1/24/2001	4.84	13	7.87	6.36	4.93	4.04	6.84	37.74131969	-122.4695008
Bank of America	Seattle	WA	2/23/2001	5.58	10.9	8.54	4.69	3.07	3.35	6.02	47.66573903	-122.3137121
Bank of America	Scottsdale	AZ	4/15/2001	6.65	10.4	16	3.75	10.4	3.2	8.4	33.62105424	-111.9287416
Bank of America	Albuquerque	NM	1/9/2002	10.9	94.7	37.5	5.95	8.04	21.6	29.8	35.08055124	-106.5949865
Bank of America	Albuquerque	NM	1/9/2002	20.6	20.7	13.5	5.77	7.66	9.03	12.9	35.08055124	-106.5949865
Idaho Independent Bank	Coeur dAlene	ID	6/29/2002	3.42	2.8	4.26	2.89	2.13	1.55	2.84	47.69356464	-116.8037282
Bank of America	Chicago	IL	2/20/2003	0.12	0.08	0.29	1	3.31	0.14	0.82	41.88984576	-87.62976194
Citizens Bank	Pittsburgh	PA	4/4/2003	0.2	6.69	0.22	0.16	0.06	0.13	1.24	40.44093745	-79.99805728
Fifth Third Bank	Columbus	OH	4/5/2003	0.37	1.12	0.59	0.11	0.84	1.56	0.76	39.96801463	-82.99993048
Wells Fargo Bank	Portland	OR	5/2/2003	0.29	0	0	0.07	0	0	0.06	45.53597636	-122.6552765
Bank of America	St. Peters	MO	6/25/2003	0.21	0.1	0	0.06	0.43	0.1	0.15	38.79818496	-90.62040163
Bank of America	Nashville	TN	6/27/2003	0.23	0.3	1.11	0.55	0.31	0.11	0.44	36.16231587	-86.77406956
US Bank	Council Bluffs	IA	6/30/2003	0.19	0.08	0.12	0.37	0.69	0.13	0.26	41.26339546	-95.85175435
Bank of the West	Mitchell	SD	7/1/2003	0	0.07	0	0	0.07	0.5	0.11	43.72541488	-98.0263293
US Bank - Downtown Branch	Omaha	NE	7/1/2003	0.36	0.63	0.17	0.06	0.14	0.07	0.24	41.25847969	-95.94001205
Big Horn Federal	Cody	WY	7/2/2003	0.11	0.37	0.1	0.18	0.06	0	0.14	44.51952497	-109.053539
Bank One	New Orleans	LA	11/19/2003	1.23	0.22	15.1	0.78	0.17	1.99	3.24	29.93951201	-90.09102993
Union Planters Bank	Gulfport	MS	11/19/2003	0.53	0.62	0.27	0.09	0.12	0.14	0.29	30.38998458	-89.04140638
Central Bank & Trust	Lexington	KY	2/1/2004	1.21	0.31	1.14	0.47	0.07	0.11	0.55	38.04936352	-84.50015377
Bank of America	Aiken	SC	2/26/2004	0.14	0.81	0.27	1.24	0.34	0.11	0.48	33.56375886	-81.71560506
Bank of America	Kitty Hawk	NC	3/4/2004	1.29	0.61	2.25	0.64	0.13	1.13	1.01	36.089421	-75.70779126
The Bank of Durango	Durango	CO	5/3/2004	0.55	1.88	0.67	0.26	0.35	0.08	0.63	37.27346849	-107.879175
U of Utah CU Bookstore Branch	SLC	UT	5/26/2004	0.45	0.49	0.98	0.09	0.33	0.1	0.41	40.76949146	-111.8392544
Flat Head Bank	Bigfork	MT	7/15/2004	0.65	0.11	0.58	0.07	0.08	0.07	0.26	48.06571163	-114.0803047
Bank of America	El Paso	TX	7/21/2004	0.14	3.63	1.35	0.36	0.4	0.38	1.04	31.76419638	-106.4868177
Bank of America	San Ysidro	CA	8/5/2004	0.22	0.66	3.33	0.18	0.21	0.08	0.78	32.55240727	-117.0425914
J.P. Morgan Chase Bank	Gary	IN	12/8/2004	0.86	0.99	0.83	0.13	0.26	0	0.51	41.60585023	-87.33837155
Park Bank Downtown	Milwaukee	WI	12/8/2004	1.03	0.18	0.7	0.06	0.15	2.44	0.76	43.03872193	-87.90944679
M&T Bank	Niagara Falls	NY	8/4/2005	0.26	0.79	0.96	0.12	0.49	0.37	0.5	43.10219696	-79.0560673
Wilmington Trust Bank	Wilmington	DE	8/18/2005	0.6	0.98	0.26	0.11	0.06	0.47	0.41	39.74868304	-75.54775948
Bank of America	Newark	NJ	10/12/2005	1.29	3.66	0.61	0.18	0.18	0.08	1	40.73253666	-74.15833327
HFSE FCU	Kona	HI	11/15/2005	0.3	0.35	0.13	0.07	0.06	0.06	0.16	19.64490637	-155.9948366
Bank of America	Kittery	ME	3/7/2006	1.27	0.45	1.75	1.23	0.1	0.06	0.81	43.08596325	-70.74478482
(bank)	Detroit	MI	8/16/2006	0.13	0.11	0.37	0.07	0.13	0	0.13	42.33156344	-83.04685475
Bank of Hawaii	Honolulu	HI	8/17/2006	0.16	0.11	0.05	0.13	6.06	0.7	1.2	21.3074148	-157.8245928
Citizens Bank	Edmond	OK	9/17/2006	0.09	0.59	0.38	0.17	0.12	0.05	0.23	35.65730855	-97.4826645
Bank of America	Boston	MA	11/27/2006	0.53	0.52	0.2	0.11	0.65	0.09	0.35	42.35665072	-71.05798338
(bank)	Anchorage	AK	12/13/2006	0.82	0.29	0.59	0.38	0.27	0.63	0.5	61.1891324	-149.884706
Bank of America	Edmond	OK	9/10/2008	0.57	2.21	0.32	0.06	4.31	0.11	1.27	35.62790104	-97.47880081
