TEST_RESULT_RECEIVED_DATE,PHASE,DCS_LAST_MOD_DTTM,OBJECTID,CASES_FROM_QUARANT_CONTACTS,LEVEL_OF_COMMUNITY_SPREAD,PERCENT_WITH_CONTACT_ATTEMPT
2021/01/14 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,1,341,Moderate,11.12
2021/01/13 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,2,225,Moderate,11.71
2021/01/12 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,3,211,Moderate,11.44
2021/01/11 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,4,404,Moderate,11.44
2021/01/10 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,5,265,Moderate,11.05
2021/01/09 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,6,350,Moderate,10.47
2021/01/08 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,7,371,Moderate,10.33
2021/01/07 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,8,377,Moderate,11
2021/01/06 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,9,321,Moderate,10.49
2021/01/05 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,10,369,Moderate,11.09
2021/01/04 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,11,290,Moderate,10.92
2021/01/03 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,12,147,Moderate,10.84
2021/01/02 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,13,283,Moderate,10.93
2021/01/01 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,14,268,Moderate,10.78
2020/12/31 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,15,285,Moderate,10.11
2020/12/30 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,16,251,Moderate,10.42
2020/12/29 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,17,271,Moderate,10.14
2020/12/28 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,18,220,Moderate,10.16
2020/12/27 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,19,142,Moderate,10.57
2020/12/26 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,20,511,Moderate,11.24
2020/12/25 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,21,11,Moderate,10.53
2020/12/24 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,22,292,Moderate,10.76
2020/12/23 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,23,219,Moderate,10.3
2020/12/22 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,24,426,Moderate,10.23
2020/12/21 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,25,139,Moderate,10.55
2020/12/20 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,26,146,Moderate,10.47
2020/12/19 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,27,268,Moderate,10.08
2020/12/18 05:00:00+00,Phase 2,2021/05/15 15:05:04+00,28,266,Moderate,10.22
