Year,Measurement_Region,January_Average_Temperature,February_Average_Temperature,March_Average_Temperature,April_Average_Temperature,May_Average_Temperature,June_Average_Temperature,July_Average_Temperature,August_Average_Temperature,September_Average_Temperature,October_Average_Temperature,November_Average_Temperature,December_Average_Temperature,January_December_Average_Temperature,December_November_Average_Temperature,Seasonal_Temperature_December_January_February,Seasonal_Temperature_March_April_May,Seasonal_Temperature_June_July_August,Seasonal_Temperature_September_October_November
2017-01-05,Global Land & Ocean,0.97,1.12,1.13,0.93,0.88,0.70,0.81,0.87,0.80,0.90,,,,,0.97,0.98,0.79,
2017-01-05,Northern Hemisphere Land & Ocean,1.28,1.46,1.46,1.16,0.86,0.92,0.95,0.98,0.97,1.02,,,,,1.25,1.16,0.95,
2017-01-05,Southern Hemisphere Land & Ocean,0.66,0.76,0.80,0.70,0.90,0.49,0.69,0.77,0.62,0.78,,,,,0.69,0.80,0.65,
2017-01-05,Global Land,1.14,1.41,1.39,1.18,1.21,0.77,1.06,1.09,1.00,1.19,,,,,1.23,1.26,0.97,
2017-01-05,Northern Hemisphere Land,1.58,1.94,1.86,1.54,1.13,1.12,1.13,1.10,1.13,1.31,,,,,1.64,1.51,1.12,
2017-01-05,Southern Hemisphere Land & Ocean,0.73,0.94,0.97,0.84,1.30,0.46,1.00,1.08,0.88,1.08,,,,,0.84,1.04,0.85,
2016-01-05,Global Land & Ocean,1.16,1.34,1.31,1.08,0.91,0.79,0.83,1.00,0.88,0.89,0.90,0.82,0.99,1.02,1.20,1.10,0.87,0.89
2016-01-05,Northern Hemisphere Land & Ocean,1.55,1.91,1.84,1.43,1.04,1.11,1.03,1.09,1.19,1.05,1.10,1.01,1.28,1.32,1.64,1.44,1.08,1.11
2016-01-05,Southern Hemisphere Land & Ocean,0.76,0.75,0.78,0.72,0.79,0.48,0.64,0.91,0.57,0.74,0.69,0.64,0.71,0.72,0.76,0.76,0.67,0.67
2016-01-05,Global Land,1.35,1.64,1.65,1.36,1.15,0.91,0.97,1.31,1.10,1.21,1.18,1.13,1.25,1.27,1.47,1.38,1.06,1.16
2016-01-05,Northern Hemisphere Land,1.95,2.49,2.44,1.98,1.40,1.37,1.30,1.40,1.45,1.36,1.37,1.40,1.66,1.70,2.11,1.94,1.36,1.39
2016-01-05,Southern Hemisphere Land & Ocean,0.82,0.89,0.92,0.78,0.91,0.50,0.68,1.21,0.76,1.06,1.00,0.86,0.87,0.87,0.88,0.87,0.80,0.94
2015-01-05,Global Land & Ocean,0.81,0.87,0.91,0.75,0.76,0.79,0.72,0.79,0.82,1.08,1.03,1.11,0.87,0.84,0.82,0.80,0.77,0.98
2015-01-05,Northern Hemisphere Land & Ocean,1.14,1.14,1.24,1.03,0.97,1.05,0.92,1.01,1.14,1.25,1.36,1.46,1.14,1.11,1.13,1.08,0.99,1.25
2015-01-05,Southern Hemisphere Land & Ocean,0.48,0.60,0.57,0.46,0.54,0.55,0.54,0.58,0.52,0.91,0.72,0.77,0.60,0.58,0.51,0.53,0.56,0.72
2015-01-05,Global Land,0.95,1.08,1.11,0.78,0.85,0.85,0.71,0.89,0.81,1.20,1.19,1.40,0.98,0.95,1.01,0.91,0.82,1.07
2015-01-05,Northern Hemisphere Land,1.42,1.36,1.58,1.24,1.17,1.21,1.03,1.12,1.22,1.39,1.58,1.91,1.35,1.31,1.40,1.33,1.12,1.40
2015-01-05,Southern Hemisphere Land & Ocean,0.54,0.81,0.69,0.36,0.55,0.52,0.40,0.67,0.42,1.01,0.83,0.95,0.65,0.62,0.65,0.53,0.53,0.75
